srcStateName,srcDistrictName,District and Taluk Court Case type,Pending cases for a period of 0 to 1 Years,Pending cases for a period of 1 to 3 Years,Pending cases for a period of 3 to 5 Years,Pending cases for a period of 5 to 10 Years,Pending cases for a period of 10 to 20 Years,Pending cases for a period of 20 to 30 Years,Pending cases over 30 Years,Pending cases,Original pending cases,Pending Appeal cases,Pending Application cases,Pending Execution cases,Cases pending at Appearance or Service-Related stage,Cases pending at Compliance or Steps or stay stage,Cases pending at Evidence or Argument or Judgement stage,Cases pending at Pleadings or Issues or Charge stage,Cases instituted in last month,Cases disposed in last month,Cases filed by Senior Citizens,Cases filed by women,Cases delayed in disposal,,,Delay_Ratio,Old_Pending_Percentage,Pending_Case_Growth,Case_Disposal_Rate,Pending_to_Disposed_Ratio,Normalized_Case_Disposal_Rate,Normalized_Delay_Ratio,Normalized_Old_Pending_Percentage,Normalized_Pending_Case_Growth,Normalized_Pending_to_Disposed_Ratio,Court_Efficiency_Index_PCA_Absolute
Haryana,Yamunanagar,Criminal,15600,10754,5874,1907,37,0,0,34172,30578,1347,2247,0,16096,237,15982,1855,2292,735,1010,2662,10804,,,0.31615603,0.056887016,0.978462529,0.021508208,46.42934783,0.030726012,0.220431143,0.086976233,0.978480396,0.000847839,0.516300671
Haryana,Yamunanagar,Total,26066,18989,11177,3932,94,1,1,60260,51026,3333,3467,2434,26025,1558,27703,4972,2449,745,5933,6169,22128,,,0.367202668,0.066842568,0.987620517,0.012362888,80.77747989,0.017661269,0.256022015,0.10219757,0.987638552,0.001475064,0.499374112
Haryana,Palwal,Civil,7316,5956,4111,1234,29,2,1,18649,15006,817,1066,1760,9417,638,6832,1761,59,2,2777,1935,3220,,,0.172654155,0.067882038,0.999839142,0.000107239,6216.333333,0.000153198,0.120378387,0.103786845,0.9998574,0.113515455,0.514628708
Haryana,Palwal,Criminal,9289,7277,5468,2950,28,1,0,25013,22583,751,1679,0,9782,269,13844,1114,3284,800,592,1523,5199,,,0.207843608,0.119093308,0.967977932,0.03198209,31.22721598,0.0456887,0.14491327,0.182085263,0.967995608,0.000570235,0.515699382
Haryana,Palwal,Total,16605,13233,9579,4184,57,3,1,43662,37589,1568,2745,1760,19199,907,20676,2875,3343,802,3369,3458,8419,,,0.192817718,0.097221904,0.981609143,0.018367955,54.373599,0.026239935,0.134436879,0.148645431,0.981627068,0.000992907,0.519639275
Mizoram,Aizawl,Civil,112,1072,466,393,58,0,0,2101,1424,1,51,232,103,179,837,656,2,4,165,351,12,,,0.005708849,0.214557564,0.997621313,0.00190295,420.2,0.002718499,0.003980339,0.328043375,0.99763953,0.007673204,0.496805985
Mizoram,Aizawl,Criminal,140,1317,612,386,10,0,0,2465,2106,9,115,0,223,327,1279,285,13,0,10,103,7,,,0.002838605,0.160583942,0.999594485,0,2465,0,0.00197914,0.245521515,0.999612738,0.045012965,0.513530852
Mizoram,Aizawl,Total,252,2389,1078,779,68,0,0,4566,3530,10,166,232,326,506,2116,941,15,4,175,454,19,,,0.00416028,0.185460915,0.998905189,0.000875848,913.2,0.001251212,0.002900642,0.283556652,0.99892343,0.016675797,0.506797585
Mizoram,Lunglei,Civil,104,96,29,5,0,0,0,234,0,0,0,0,0,0,0,0,1,0,16,55,7,,,0.029787234,0.021276596,0.995744681,0,234,0,0.020768334,0.032530413,0.995762864,0.004273036,0.567027543
Mizoram,Lunglei,Criminal,147,51,23,4,0,0,0,225,0,0,0,0,0,0,0,0,3,3,1,17,18,,,0.079646018,0.017699115,0.982300885,0.013274336,56.25,0.018963338,0.055531007,0.027060698,0.982318823,0.001027172,0.567197645
